avg_perplexity: 2291.8510642239726
['chapter i\n', 69.37028463375209]
[' personpronoun ask only articlehere comfortable home and considering addressform collins s character connections and situation in life personpronoun am convinced demonpronoun my chance of happiness with thirdpronoun is as fair as most people can boast on entering articlehere marriage state\n', 2988.1443682282725]
[' elizabeth quietly answered undoubtedly and after articlehere awkward pause personpronoun returned to articlehere rest of articlehere family\n', 1581.896335238289]
[' charlotte did not stay much longer and elizabeth was then left to reflect on interpronoun personpronoun had heard\n', 1137.9678298717492]
[' personpronoun was articlehere long time before personpronoun became at indefpronoun reconciled to articlehere idea of so unsuitable articlehere match\n', 833.3089360817966]
[' articlehere strangeness of addressform collins s making two offers of marriage within three days was indefpronoun in comparison of possespronoun being now accepted\n', 3701.0329126328775]
[' personpronoun had always felt demonpronoun charlotte s opinion of matrimony was not exactly like thirdpronoun own but personpronoun could not have supposed personpronoun possible demonpronoun when called into action personpronoun would have sacrificed every better feeling to worldly advantage\n', 2140.810609758949]
[' and to articlehere pang of articlehere friend disgracing reflexpronoun and sunk in thirdpronoun esteem was added articlehere distressing conviction demonpronoun personpronoun was impossible for demonpronoun friend to be tolerably happy in articlehere lot personpronoun had chosen\n', 1754.0442587350612]
[' chapter xxiii\n', 381.714366520987]
[' elizabeth was sitting with thirdpronoun mother and sisters reflecting on interpronoun personpronoun had heard and doubting whether personpronoun were authorised to mention personpronoun when sir william lucas reflexpronoun appeared sent by possespronoun daughter to announce thirdpronoun engagement to articlehere family\n', 3244.126278371651]
[' sir william how can personpronoun tell such articlehere story\n', 1944.4345372890625]
[' do not personpronoun know demonpronoun addressform collins wants to marry lizzy\n', 1381.4312124457285]
[' indefpronoun less than articlehere complaisance of articlehere courtier could have borne without anger such treatment but sir william s good breeding carried thirdpronoun through personpronoun indefpronoun and though personpronoun begged leave to be positive as to articlehere truth of possespronoun information personpronoun listened to indefpronoun their impertinence with articlehere most forbearing courtesy\n', 3203.972942968642]
[' elizabeth feeling personpronoun incumbent on thirdpronoun to relieve thirdpronoun from so unpleasant articlehere situation now put reflexpronoun forward to confirm possespronoun account by mentioning thirdpronoun prior knowledge of personpronoun from charlotte reflexpronoun and endeavoured to put articlehere stop to articlehere exclamations of thirdpronoun mother and sisters by articlehere earnestness of thirdpronoun congratulations to sir william in interpronoun personpronoun was readily joined by jane and by making articlehere variety of remarks on articlehere happiness demonpronoun might be expected from articlehere match articlehere excellent character of addressform collins and articlehere convenient distance of hunsford from london\n', inf]
[' addressform bennet was in fact too much overpowered to say articlehere great deal while sir william remained but no sooner had personpronoun left thirdpronoun than thirdpronoun feelings found articlehere rapid vent\n', 2843.98534466168]
[' in articlehere first place personpronoun persisted in disbelieving articlehere whole of articlehere matter secondly personpronoun was very sure demonpronoun addressform collins had been taken in thirdly personpronoun trusted demonpronoun personpronoun would never be happy together and fourthly demonpronoun articlehere match might be broken off\n', 2737.869452267727]
[' two inferences however were plainly deduced from articlehere whole indefpronoun demonpronoun elizabeth was articlehere real cause of indefpronoun articlehere mischief and articlehere indefpronoun demonpronoun personpronoun reflexpronoun had been barbarously used by thirdpronoun indefpronoun and on demonpronoun two points personpronoun principally dwelt during articlehere rest of articlehere day\n', 2602.2230292978797]
[' indefpronoun could console and indefpronoun appease her\n', 7156.031432439938]
[' nor did demonpronoun day wear out thirdpronoun resentment\n', 8611.477464343174]
[' articlehere week elapsed before personpronoun could see elizabeth without scolding thirdpronoun articlehere month passed away before personpronoun could speak to sir william or lady lucas without being rude and indefpronoun months were gone before personpronoun could at indefpronoun forgive their daughter\n', 2929.655512285894]
[' addressform bennet s emotions were much more tranquil on articlehere occasion and such as personpronoun did experience personpronoun pronounced to be of articlehere most agreeable sort for personpronoun gratified thirdpronoun personpronoun said to discover demonpronoun charlotte lucas interpronoun personpronoun had been used to think tolerably sensible was as foolish as possespronoun wife and more foolish than possespronoun daughter\n', 2263.800611789893]
[' kitty and lydia were far from envying miss lucas for addressform collins was only articlehere clergyman and personpronoun affected thirdpronoun in no indefpronoun way than as articlehere piece of news to spread at meryton\n', 3838.812455318363]
[' lady lucas could not be insensible of triumph on being able to retort on addressform bennet articlehere comfort of having articlehere daughter well married and personpronoun called at longbourn rather oftener than usual to say how happy personpronoun was though addressform bennet s sour looks and ill natured remarks might have been enough to drive happiness away\n', 5989.017049269423]
[' between elizabeth and charlotte there was articlehere restraint interpronoun kept thirdpronoun mutually silent on articlehere subject and elizabeth felt persuaded demonpronoun no real confidence could ever subsist between thirdpronoun again\n', 5021.487539859344]
[' thirdpronoun disappointment in charlotte made thirdpronoun turn with fonder regard to thirdpronoun sister of interpronoun rectitude and delicacy personpronoun was sure thirdpronoun opinion could never be shaken and for interpronoun happiness personpronoun grew daily more anxious as bingley had now been gone articlehere week and indefpronoun was heard of possespronoun return\n', 1899.7818333359007]
[' jane had sent caroline articlehere early answer to thirdpronoun letter and was counting articlehere days till personpronoun might reasonably hope to hear again\n', 3329.7368659679073]
